title,rating,reviews,type,address,phone,website,latitude,longitude,dine_in,drive_through,no_contact_delivery,city
El Hijazi Liver,4.6,139,restaurants,King Fahd Park Dammam,,,26.4072047,50.05940709999999,,,,Dammam
Signature,4.5,742,restaurants,King Fahd Park Dammam,,,26.399341,50.067437,,,,Dammam
Cool & Sweet,4.7,32,restaurants,Central Dammam Al Danah,,,26.4543322,50.09245989999999,,,,Dammam
THE CLUB CL*B,4.7,61,restaurants,Tamimi Markets Khobar,,,26.32644923683529,50.21273699877662,,,,Khobar
stroopers,4.5,31,restaurants,Tamimi Markets Khobar,,,26.32642069743352,50.21245484333876,,,,Khobar
Arab Cafe,5.0,1,restaurants,West Dammam Al Faisaliyah,,,26.3803795,50.0117882,,,,Dammam
Shormeh,4.4,38,restaurants,West Dammam Al Faisaliyah,,,26.3494848,50.05166049999999,,,,Dammam
Top Sweet,0.0,0,restaurants,West Dammam Al Faisaliyah,,,26.3494315,50.05162989999999,,,,Dammam
BIRYANI TIKKA,4.5,27,restaurants,West Dammam Al Faisaliyah,,,26.48717405390682,50.03891472247619,,,,Dammam
Chick Hut,4.8,64,restaurants,West Dammam Al Faisaliyah,,,26.4199367,49.99683955,,,,Dammam
Marsana seafood,4.6,48,restaurants,West Dammam Al Faisaliyah,,,26.41987139999999,49.9967778,,,,Dammam
Zman Awal,4.0,37,restaurants,Central Dammam Al Danah,,,26.414762,50.1701386,,,,Dammam
Yalla Karak,3.8,4,restaurants,Central Dammam Al Danah,,,26.37373400606537,50.10267868161468,,,,Dammam
EXTRA FILLET,5.0,1,restaurants,Central Dammam Al Danah,,,26.3737292,50.10255530000001,,,,Dammam
EXTRA SAUCE,3.0,2,restaurants,Central Dammam Al Danah,,,26.3737292,50.10255530000001,,,,Dammam
KARAK TIME,4.1,218,restaurants,Central Dammam Al Danah,,,26.3736061,50.1025726,,,,Dammam
Tanaesh Pastry,3.2,5,restaurants,Central Dammam Al Danah,,,26.3866956,50.0609087,,,,Dammam
Juice Generation,4.4,16,restaurants,Central Dammam Al Danah,,,26.47482614068749,50.04720113928679,,,,Dammam
victoria maple,4.8,9,restaurants,Central Dammam Al Danah,,,26.46800398076747,50.04192415767073,,,,Dammam
Al Marjea,5.0,3,restaurants,Central Dammam Al Danah,,,26.4824375,50.0540625,,,,Dammam
MR BEAST BURGER,4.3,147,restaurants,Al Khobar Promenade,,,26.4514167,50.1285479,,,,Khobar
Popeyes,4.3,783,restaurants,Al Khobar Gate,,,26.338488,50.19844800000001,,,,Khobar
Zooba,4.2,561,restaurants,Al Khobar Gate,,,26.299658,50.2236547,,,,Khobar
ODNAS,4.1,12,restaurants,Al Waha District,,,26.479459,50.132673,,,,Dammam
Lapat Bakery,4.6,50,restaurants,Al Waha District,,,26.47996764123578,50.13283248836061,,,,Dammam
Manto Rose,4.6,54,restaurants,Dhahran Expo Area,,,26.2983621,50.181011,,,,Dhahran
Falafel Site,3.8,40,restaurants,East Dammam Al Adamah,,,26.4681083,50.0920746,,,,Dammam
Rabieh Falafel,4.3,219,restaurants,East Dammam Al Adamah,,,26.468136,50.092089,,,,Dammam
Dana Cake,4.3,49,restaurants,East Dammam Al Adamah,,,26.442458,50.121233,,,,Dammam
Shallal,4.6,643,restaurants,East Dammam Al Adamah,,,26.4418513,50.1201872,,,,Dammam
Zaman Awal Bakery,4.6,116,restaurants,East Dammam Al Adamah,,,26.469985,50.09251,,,,Dammam
Yummy Juice,4.6,5,restaurants,East Dammam Al Adamah,,,26.4740546,50.1255044,,,,Dammam
Sofret Fayzah,4.2,11,restaurants,Al Khobar Gate,,,26.3068163,50.2247808,,,,Khobar
Wiso Bakery,0.0,0,restaurants,Dhahran Sports Club,,,26.3191091,50.2219713,,,,Dhahran
DOOZY,4.0,13,restaurants,King Fahd Park Dammam,,,26.42754140406034,50.09699479816424,,,,Dammam
Romansi Al Sharqiya,4.2,1597,restaurants,King Fahd Park Dammam,,,26.414369,50.054313,,,,Dammam
Manto Rose,4.2,37,restaurants,King Fahd Park Dammam,,,26.4146692,50.05408509999999,,,,Dammam
Zawak,4.3,19,restaurants,West Dammam Al Faisaliyah,,,26.410634,50.07441,,,,Dammam
Four leaf,4.1,122,restaurants,King Fahd Park Dammam,,,26.4988977,50.0314638,,,,Dammam
Fatira w kabab,5.0,1,restaurants,King Fahd Park Dammam,,,26.3350095,50.0123151,,,,Dammam
Al Kanafany,4.6,105,restaurants,Jubail Industrial City,,,26.99073442437559,49.65972134166415,,,,Jubail
Masala & Grill,3.7,27,restaurants,Jubail Industrial City,,,26.99060859687901,49.65982367065836,,,,Jubail
Rioug Zaman,4.5,60,restaurants,Jubail Industrial City,,,26.988513,49.656914,,,,Jubail
Hashem,4.4,414,restaurants,Jubail Industrial City,,,26.990488,49.660303,,,,Jubail
7 Seas Biriyani,3.5,31,restaurants,Jubail Industrial City,,,26.9884932,49.6573468,,,,Jubail
Tim Horton,4.6,215,restaurants,Jubail Industrial City,,,26.985416,49.647594,,,,Jubail
Logimat Bint Al Qadi,4.5,467,restaurants,Jubail Industrial City,,,26.989671,49.660321,,,,Jubail
Bahrain Tikka Restaurant,4.7,29,restaurants,Jubail Industrial City,,,26.9874125,49.6570781,,,,Jubail
Liver Jubail Buffet,3.7,18,restaurants,Jubail Industrial City,,,26.9875719,49.65743239999999,,,,Jubail
ALBAHAR,3.0,5,restaurants,Jubail Industrial City,,,26.98484058869185,49.64814201979691,,,,Jubail
Falafel O Bss,4.4,42,restaurants,Jubail Industrial City,,,26.987511,49.657493,,,,Jubail
Crafter Coffee,4.5,113,restaurants,Al Waha District,,,26.4681879,50.12359659999999,,,,Dammam
Hamadan Restaurant,4.6,7,restaurants,Al Waha District,,,26.455265,50.096462,,,,Dammam
Knafet Al Bagajati,0.0,0,restaurants,Central Dammam Al Danah,,,26.4372213,50.1304758,,,,Dammam
Umbrella,4.2,22,restaurants,Al Khobar Gate,,,26.3194532,50.2216907,,,,Khobar
Abs Kitchen,4.2,53,restaurants,East Dammam Al Adamah,,,26.442277,50.121829,,,,Dammam
Special mamoul,5.0,8,restaurants,East Dammam Al Adamah,,,26.47324,50.0948618,,,,Dammam
Jareer Sweet,4.5,27,restaurants,East Dammam Al Adamah,,,26.44154437542067,50.12216160181771,,,,Dammam
Chocolate Design,3.7,3,restaurants,East Dammam Al Adamah,,,26.441658,50.122629,,,,Dammam
LEE SWEET,0.0,0,restaurants,Al Rakah,,,26.301546,50.2141985,,,,Khobar
Chinese and Grill,4.5,15,restaurants,Al Rakah,,,26.301212,50.216916,,,,Khobar
Mama Shaikha Pastries,3.6,145,restaurants,Central Dammam Al Danah,,,26.431706,50.0810395,,,,Dammam
Pastries Site,5.0,1,restaurants,Central Dammam Al Danah,,,26.43167206530476,50.08102460674591,,,,Dammam
Farah Afandina,4.5,75,restaurants,Central Dammam Al Danah,,,26.4384426,50.1277943,,,,Dammam
Pinzatta,4.5,35,restaurants,South Khobar Area,,,26.29859120250387,50.20080002174302,,,,Khobar
Burger King,3.7,619,restaurants,King Fahd Park Dammam,,,26.3883048,50.0750069,,,,Dammam
Fries Way,4.4,18,restaurants,King Fahd Park Dammam,,,26.40663259999999,50.01381079999999,,,,Dammam
Shekh Al Daar,4.3,441,restaurants,King Fahd Park Dammam,,,26.3645653,50.0459868,,,,Dammam
B11,3.7,57,restaurants,Tamimi Markets Khobar,,,26.3024,50.1813076,,,,Khobar
Halabih,3.7,241,restaurants,Tamimi Markets Khobar,,,26.3614233,50.1942965,,,,Khobar
Kudu,4.6,262,restaurants,Dhahran Sports Club,,,26.268639,50.1877992,,,,Dhahran
Takhtakh,4.0,150,restaurants,Dhahran Sports Club,,,26.30227722839951,50.18114595952451,,,,Dhahran
Domino's Pizza,4.4,301,restaurants,Al Khobar Gate,,,26.3017680913589,50.21348596441801,,,,Khobar
OLABS ROASTERY & BAKE HOUSE,4.1,37,restaurants,Al Khobar Gate,,,26.3033237,50.2062317,,,,Khobar
Pizzarific,4.4,100,restaurants,Tamimi Markets Khobar,,,26.299646,50.200673,,,,Khobar
Cinnabon,4.3,175,restaurants,Central Dammam Al Danah,,,26.45522305,50.10573995,,,,Dammam
bake me happy,4.3,10,restaurants,East Dammam Al Adamah,,,26.39535106663028,50.10474464299794,,,,Dammam
Sweetest Juice And Crepe,4.7,15,restaurants,King Fahd University of Petroleum and Minerals,,,26.3598762,50.0741426,,,,Dhahran
Raik Restaurant,4.3,529,restaurants,Al Waha District,,,26.4583092,50.09610319999999,,,,Dammam
O7,5.0,1,restaurants,Al Waha District,,,26.4583092,50.09610319999999,,,,Dammam
Mashkuk Bahab,4.1,103,restaurants,Al Waha District,,,26.4583092,50.09610319999999,,,,Dammam
Kudu,4.5,742,restaurants,Al Khobar Promenade,,,26.32319,50.16464,,,,Khobar
FRYKIT,4.2,288,restaurants,King Fahd Park Dammam,,,26.4677963,50.0592082,,,,Dammam
Dolma Mama,4.2,40,restaurants,King Fahd Park Dammam,,,26.4548674,50.1208285,,,,Dammam
Al-Tayeb Restaurant,3.7,29,restaurants,King Fahd Park Dammam,,,26.36091657360868,50.0657355981476,,,,Dammam
Pinzatta,4.2,34,restaurants,Dhahran Mall,,,26.3485417,50.1435619,,,,Dhahran
Minibites,5.0,1,restaurants,Aramco Residential Compound,,,26.2889364,50.2170399,,,,Dhahran
LUFF,4.5,123,restaurants,Al Waha District,,,26.4514167,50.1285479,,,,Dammam
Deep Fries,4.3,1948,restaurants,Al Waha District,,,26.4514607,50.1288644,,,,Dammam
Plant,4.6,135,restaurants,West Dammam Al Faisaliyah,,,26.4384744,50.1133417,,,,Dammam
Zaman Awal Bakery,4.5,210,restaurants,West Dammam Al Faisaliyah,,,26.3936954,50.1047897,,,,Dammam
Manakish Shamia,4.3,90,restaurants,West Dammam Al Faisaliyah,,,26.45166921903543,50.09673640059431,,,,Dammam
Waleema Chocolate,4.8,14,restaurants,West Dammam Al Faisaliyah,,,26.42865005292595,50.07489034722138,,,,Dammam
Baba Khabbaz,4.3,159,restaurants,West Dammam Al Faisaliyah,,,26.431863,50.081399,,,,Dammam
Latif Pastry,4.7,112,restaurants,Dhahran Expo Area,,,26.2964107,50.1924838,,,,Dhahran
Mad pizza,4.0,3,restaurants,Dhahran Expo Area,,,26.32243496721393,50.15567814847945,,,,Dhahran
Maestro Pizza,4.4,145,restaurants,Dhahran Expo Area,,,26.32244,50.15565,,,,Dhahran
Tgdeemat,4.5,463,restaurants,Dhahran Expo Area,,,26.322631,50.159338,,,,Dhahran
Lorenzo Pizza,4.4,537,restaurants,Jubail University College,,,26.5713786,50.02576369999999,,,,Jubail
mumayaz alkhalij,4.2,17,restaurants,Jubail University College,,,26.5709756,50.0279041,,,,Jubail
Gelatissimo,5.0,3,restaurants,Jubail University College,,,26.5717686,50.02951619999999,,,,Jubail
Waraq 3nb Station,4.5,961,restaurants,Jubail University College,,,26.572214,50.033682,,,,Jubail
Flame Burger,4.7,45,restaurants,Jubail University College,,,26.5728515,50.0368384,,,,Jubail
Black Deer,4.3,11,restaurants,Jubail University College,,,26.5747713,50.0309426,,,,Jubail
SPARKLES,4.3,110,restaurants,Jubail University College,,,26.5834535,50.0154479,,,,Jubail
One100,4.5,15,restaurants,Jubail University College,,,26.58455150000001,49.97496289999999,,,,Jubail
Canton,4.5,201,restaurants,Dammam Corniche,,,26.454877,50.120841,,,,Dammam
Noodle Way,4.8,4,restaurants,Dammam Corniche,,,26.454908,50.121053,,,,Dammam
Wok Nation,3.2,4,restaurants,Dammam Corniche,,,26.45493825977691,50.12105910244675,,,,Dammam
Pizza Hut,4.2,127,restaurants,Dammam Corniche,,,26.4548927,50.11553170000001,,,,Dammam
Sabbosa,5.0,1,restaurants,Dammam Corniche,,,26.4554556,50.11833550000001,,,,Dammam
Sama Deeraty,4.4,194,restaurants,Dhahran Sports Club,,,26.297139,50.193375,,,,Dhahran
Al Dahnaa,2.5,21,restaurants,Dhahran Sports Club,,,26.2953703,50.1941601,,,,Dhahran
TEA BU SAIF,5.0,23,restaurants,Dhahran Sports Club,,,26.3020315,50.1804901,,,,Dhahran
Meow Cafe,4.7,3,restaurants,Dhahran Sports Club,,,26.3099985,50.17151079999999,,,,Dhahran
Al Nawras,5.0,5,restaurants,King Fahd Park Dammam,,,26.4094886,50.0805342,,,,Dammam
Hashi Basha,4.3,70,restaurants,King Fahd Park Dammam,,,26.42289474742895,50.07290821534422,,,,Dammam
Graph,4.2,75,restaurants,Jubail University College,,,26.4873235,49.9747056,,,,Jubail
Old School,4.5,142,restaurants,Jubail University College,,,26.5196279,50.0330345,,,,Jubail
O7,5.0,2,restaurants,Jubail University College,,,26.4826895,50.0443352,,,,Jubail
Sama Deeraty,4.5,277,restaurants,Jubail University College,,,26.532854,50.028595,,,,Jubail
perfect coffee,4.3,15,restaurants,Jubail University College,,,26.4881878,50.0474584,,,,Jubail
Cone Zone,3.0,2,restaurants,Jubail Fish Market,,,27.0970346,49.5721015,,,,Jubail
Renado,3.2,17,restaurants,Jubail Fish Market,,,27.0970346,49.5721015,,,,Jubail
Aymon,4.2,495,restaurants,Jubail Fish Market,,,27.0970937,49.5720587,,,,Jubail
Karmat,3.8,148,restaurants,Jubail Fish Market,,,27.0968944,49.572238,,,,Jubail
Manousha Al Rawche,4.3,67,restaurants,Jubail Fish Market,,,27.0968944,49.572238,,,,Jubail
Hot Mexico,4.4,5,restaurants,Jubail Fish Market,,,27.09697738043103,49.57230566441803,,,,Jubail
Burger King,4.2,622,restaurants,Jubail Fish Market,,,27.09707156366499,49.57230215924684,,,,Jubail
Hot Pasta,4.2,154,restaurants,Jubail Fish Market,,,27.096959,49.572741,,,,Jubail
Shawarmer,4.3,960,restaurants,Jubail Fish Market,,,27.11226,49.555466,,,,Jubail
Applebee's,4.3,223,restaurants,Jubail Fish Market,,,27.098383,49.57283,,,,Jubail
Baskin Robbins,4.5,213,restaurants,Jubail Fish Market,,,27.121834,49.528797,,,,Jubail
Pastry Hut,4.8,263,restaurants,Jubail Fish Market,,,27.117086,49.550443,,,,Jubail
Baskin Robbins,4.7,101,restaurants,Central Khobar Area,,,26.2974875,50.1946406,,,,Khobar
Maestro Pizza,4.5,249,restaurants,Central Khobar Area,,,26.298482,50.20071,,,,Khobar
Mad pizza,3.0,6,restaurants,Central Khobar Area,,,26.2985354,50.2008604,,,,Khobar
Babel Pastries,4.5,107,restaurants,Central Khobar Area,,,26.300632,50.188701,,,,Khobar
Domino's Pizza,4.6,160,restaurants,Tamimi Markets Khobar,,,26.35981701364565,50.18900012883608,,,,Khobar
Modawar,4.5,2338,restaurants,West Dammam Al Faisaliyah,,,26.3810622,50.0564896,,,,Dammam
Starbucks®,4.5,204,restaurants,Dammam Corniche,,,26.45401622095643,50.12040986281729,,,,Dammam
Herfy,4.3,259,restaurants,Prince Mohammed Bin Fahd University,,,26.41511,50.170324,,,,Khobar
Starbucks®,4.6,230,restaurants,Prince Mohammed Bin Fahd University,,,26.3724376,50.1786512,,,,Khobar
Herfy,4.2,265,restaurants,Dhahran Mall,,,26.304413,50.170044,,,,Dhahran
Shaebiaat Alasala,0.0,0,restaurants,King Fahd Park Dammam,,,26.39363640018719,50.03742520055906,,,,Dammam
Mashwa buni,4.1,19,restaurants,Dhahran Sports Club,,,26.23196490769871,50.19349429632987,,,,Dhahran
ala ellafah,4.3,15,restaurants,Dhahran Sports Club,,,26.2317743,50.1933354,,,,Dhahran
Al Baik,4.3,3462,restaurants,Jubail University College,,,26.4782861,50.0562237,,,,Jubail
House of Donuts,4.3,36,restaurants,Jubail University College,,,26.54981,50.015364,,,,Jubail
Cinnabon,4.2,540,restaurants,Jubail University College,,,26.54970955,50.0160691,,,,Jubail
Juice Time,4.2,112,restaurants,Jubail University College,,,26.549728,50.015978,,,,Jubail
Dunkin Donuts,4.2,374,restaurants,Jubail University College,,,26.47652153122371,50.05589296627043,,,,Jubail
Sky Crepe,4.6,311,restaurants,Jubail University College,,,26.553023,50.002525,,,,Jubail
Subway,4.3,231,restaurants,Jubail University College,,,26.474497,50.057517,,,,Jubail
Juices Factory,4.6,174,restaurants,Jubail University College,,,26.47368296459505,50.05806894355127,,,,Jubail
Smoothie Factory,4.3,56,restaurants,Jubail University College,,,26.473566,50.058111,,,,Jubail
House of Donuts,4.5,52,restaurants,Dammam Corniche,,,26.448097,50.123811,,,,Dammam
The Breakfast Club,4.4,339,restaurants,Al Bayoniya Area,,,26.330337,50.212779,,,,Khobar
Dunkin' Donuts,4.4,333,restaurants,Al Bayoniya Area,,,26.31989276816578,50.20792415152053,,,,Khobar
Baskin Robbins,5.0,1,restaurants,Al Bayoniya Area,,,26.3262984,50.2141022,,,,Khobar
Mountain Fruits Juices,4.7,25,restaurants,Jubail Industrial City,,,26.92840099999999,49.7144105,,,,Jubail
special juice,4.0,45,restaurants,Jubail Industrial City,,,26.92859739999999,49.7149922,,,,Jubail
Monroe,4.4,61,restaurants,Jubail Industrial City,,,26.9259345,49.7134288,,,,Jubail
Starbucks®,4.4,217,restaurants,Jubail Industrial City,,,26.92557933936509,49.71364723633251,,,,Jubail
Zaafaran Bakery,4.3,228,restaurants,Jubail Industrial City,,,27.128172,49.539147,,,,Jubail
Taba Garden Juices,0.0,0,restaurants,Al Waha District,,,26.411162,50.015407,,,,Dammam
labe crepe cafe and more,3.8,20,restaurants,Al Waha District,,,26.3619473,50.06505120000001,,,,Dammam
Panchos Mexican Grill,3.3,46,restaurants,Prince Mohammed Bin Fahd University,,,26.3048533,50.1698083,,,,Khobar
